	DMSOshBRD4_1	DMSOshBRD4_2	DMSOshBRD4_3	DMSOshSCRAM1	DMSOshSCRAM2	DMSOshSCRAM3	SGCshBRD4_1	SGCshBRD4_2	SGCshBRD4_3	SGCshSCRAM1	SGCshSCRAM2	SGCshSCRAM3
ENSG00000007237	12.97383923	12.48340144	12.63847862	9.424437869	11.19023266	8.847842179	16.41077219	13.32430137	12.05283148	10.72872868	11.05587951	10.37864349
ENSG00000007255	83.40325217	70.38338836	73.19118948	41.88639053	46.27825032	32.90022869	82.92173834	69.39116502	71.38386643	43.53049752	43.41207735	47.1903946
ENSG00000007264	61.31065737	64.14168764	68.23178647	94.41890532	98.81544434	83.66794449	85.91986018	87.05709269	90.51287639	115.8175055	128.5119206	141.5711838
ENSG00000007312	1.630996931	2.135318667	1.759788162	1.396213018	1.896649603	0.687211043	0.867877376	1.272545637	1.244163249	0.615582793	1.014300873	0.162166304
ENSG00000007341	7.339486191	7.884253539	8.318998585	7.853698224	6.922771053	7.645222854	8.205386097	7.410706944	9.875545792	7.562874317	6.390095498	6.810984788
ENSG00000007350	6.301579053	5.338296667	4.799422261	5.32306213	5.026121449	4.46687178	6.075141629	2.769658151	3.110408123	5.540245139	3.144332705	4.378490221
ENSG00000007372	7.561894864	7.473615334	7.839056359	5.410325443	4.551959048	4.982280062	8.836569642	8.533541329	6.920658075	6.595529927	6.69438576	5.270404896
ENSG00000007376	54.19357986	46.97701067	53.35357746	55.1504142	42.01078872	35.13366458	54.04509112	50.45269172	52.33261668	48.10339827	53.14936573	57.56903809
ENSG00000007384	15.71687952	14.37233718	15.67811272	3.490532544	6.543441132	6.184899387	15.38509893	13.92314638	13.60803554	5.364364341	5.5786548	6.324485875
ENSG00000007392	57.52970994	67.42679329	70.95145909	47.82029585	43.62294088	45.44183022	58.14778416	72.68481255	74.33875415	55.05068979	55.58368782	60.65019788
ENSG00000007402	1.186179586	1.888935744	1.119865194	0.785369822	1.043157282	0.687211043	0.867877376	1.422256888	1.088642843	0.087940399	0.507150436	1.054080979
ENSG00000007520	21.7960499	19.05361272	21.99735203	28.44784023	21.14764308	17.00847332	24.61615829	20.51044144	22.6282191	23.65596734	21.09745815	21.97353426
ENSG00000007541	52.1919018	48.20892528	50.79388559	58.72821005	48.74389481	36.7657908	51.36256105	47.98245607	47.66700449	46.60841149	43.006357	50.92021961
ENSG00000007545	24.76149887	25.78807928	27.91663948	26.26625739	24.27711492	25.34090721	28.40325956	25.07663461	24.88326499	26.38211971	26.98040321	26.91960654
ENSG00000007866	26.54076825	25.78807928	25.51692835	29.05868343	33.0017031	26.7153293	28.24546368	26.64860275	27.06055067	27.6132853	34.38479958	32.4332609
ENSG00000007923	67.46396398	62.2527519	58.71293232	72.07949704	56.61499066	52.31394065	76.452107	69.46602065	71.77266745	69.47291523	70.79820091	67.54226582
ENSG00000007944	36.17847739	36.13616205	33.1160136	41.7118639	34.61385526	36.67988942	35.89856417	31.58907404	30.79304042	44.9375439	32.76191819	35.91983644
ENSG00000007968	18.83060093	20.53191026	17.59788162	34.90532544	28.54457653	29.55007485	20.04007758	21.70813145	17.96260691	31.48266285	24.64751121	25.4601098
ENSG00000008018	134.2607019	121.713164	116.3059995	177.5808432	137.6019287	140.7923624	128.1302598	120.9666911	120.9171158	147.9157512	126.0775985	128.4357131
ENSG00000008083	74.43276905	78.43189718	76.55078506	77.66434911	88.09937408	90.54005492	77.95116792	73.95735819	76.04947862	90.8424322	101.6329474	96.81328378
ENSG00000008128	9.711845364	8.623402308	7.759065988	7.50464497	5.879613771	6.442603529	8.520977869	6.96157319	7.698260105	7.211112721	6.897245934	7.054234245
ENSG00000008130	144.4173647	130.8293322	123.8250943	119.5507396	99.9534341	82.55122655	143.8309505	128.3773981	126.9046514	116.8727903	116.0360198	123.0031419
ENSG00000008256	26.83731314	24.30978174	25.1169765	24.52099112	23.80295252	24.48189341	31.79587112	26.72345837	28.69351494	32.09824565	30.83474653	32.5954272
ENSG00000008282	68.72427979	71.8616859	69.59162278	84.73267751	83.16808511	97.58396811	70.29806742	71.86140067	64.85200937	73.95787559	68.16101864	64.70435549
ENSG00000008283	12.08420454	12.72978436	13.19841122	17.36539941	15.64735923	15.03274157	11.28240588	12.72545637	11.50851006	16.62073542	17.85169536	17.35179458
ENSG00000008294	96.89604497	100.2778497	105.2673283	109.9517751	120.3424173	131.0855065	97.4389599	104.1241753	105.5205956	105.9681808	115.9345897	108.8946735
ENSG00000008300	23.20463816	18.39659159	21.11745795	17.71445266	22.66496276	17.18027608	22.24921999	23.80408897	20.1398926	19.08306659	21.60460859	21.00053643
ENSG00000008311	1.630996931	1.231914615	1.759788162	2.007056213	2.086314564	1.889830368	1.656856808	1.796535017	1.555204062	2.022629178	1.217161047	1.621663045
ENSG00000008324	13.4927928	17.65744282	15.19817049	17.80171597	14.13003955	18.55469816	15.38509893	17.96535017	14.54115798	17.9398414	17.04025466	18.1626261
ENSG00000008382	2.372359173	2.463829231	2.319720759	3.839585799	4.267461608	2.577041411	3.155917729	3.218791905	3.03264792	6.067887533	4.564353927	3.891991308
ENSG00000008394	32.8423473	30.30509954	26.15685132	34.90532544	30.82055606	29.63597623	45.28741942	35.48156658	36.70281586	53.90746461	51.12076398	54.65004461
