,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
TFR2,108.0,111.5,115.5,63.0,78.0,111.0
TFRC,19169.0,34529.5,29375.0,7793.0,23177.0,18121.0
TGFA,515.5,1125.5,638.0,147.0,49.5,901.0
TGFB1,319.5,234.5,314.5,318.0,305.5,227.5
TGFB1I1,0.5,0.0,0.5,5.0,1.5,0.0
TGFB2,19.5,34.0,56.0,0.0,0.0,15.5
TGFB3,25.0,40.0,28.0,15.0,14.5,27.0
TGFBI,3.5,8.0,7.5,213.0,236.5,7.5
TGFBR1,4846.0,7686.5,8179.5,1336.0,2080.0,3286.0
TGM4,1.0,5.5,3.0,12.0,10.0,3.5
TGFBR2,1115.5,1871.0,1657.0,685.0,712.5,1043.0
TGFBR3,29.5,22.5,43.5,1.0,7.0,12.0
TGIF1,109.0,260.0,257.0,220.0,55.5,81.5
TGM2,16.5,13.5,17.0,30.0,55.0,8.0
THBD,10288.5,6316.5,16705.5,1483.0,748.0,3348.0
THBS1,48.0,7.5,49.5,261.0,8.5,4.5
THBS2,62.5,118.5,89.0,102.0,67.0,52.0
THBS3,618.5,637.0,543.5,252.0,309.5,552.0
THBS4,3.5,15.5,7.5,6.0,5.5,6.0
THOP1,588.5,498.5,519.5,185.0,324.0,646.5
THRA,294.5,453.5,366.5,97.0,115.5,352.5
THRSP,2.5,4.5,5.0,9.0,3.0,2.5
KLF10,847.5,833.5,1835.5,605.0,268.5,326.5
TIA1,1281.5,2835.5,2410.5,866.0,1136.0,1351.5
TIAL1,802.5,1691.5,1221.0,643.0,811.5,868.0
TIAM1,0.5,4.0,2.5,39.0,61.5,2.0
TIMP1,496.0,397.5,490.5,586.0,251.0,453.5
TIMP2,1517.0,1714.5,1686.5,864.0,395.5,1495.0
TIMP3,938.0,530.5,947.0,20.0,9.0,435.0
TK1,4371.5,3368.5,4172.0,440.0,2462.5,4302.0
TK2,888.5,809.5,944.5,1425.0,1253.5,751.5
TKT,46201.5,37957.0,44254.5,20860.0,22686.0,40678.0
ICAM5,7.0,2.5,4.0,1.0,1.0,3.0
