task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
37	ba/4df5c5	17302126961968606401	MERGED_BAM (mp916-MV411-E2F3_R1)	COMPLETED	0	2020-11-13 20:18:24.939	36m 8s	30m 42s	106.7%	19.7 GB	39.9 GB	23.3 GB	5.2 GB
38	c9/dd29a4	7813642415269607823	MERGED_BAM (mp917-MV411-SREBP1_R1)	COMPLETED	0	2020-11-13 20:18:25.463	40m 27s	35m 1s	109.0%	22.8 GB	39.9 GB	22.5 GB	4.9 GB
39	3b/61b868	3829507940685815850	MERGED_BAM (mp920-MV411-STAT5B_R1)	COMPLETED	0	2020-11-13 20:18:27.240	44m 35s	38m 45s	117.3%	32.6 GB	40 GB	26.2 GB	5.3 GB
42	c1/272dff	6280014722980856991	MERGED_BAM (mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 20:18:26.670	51m 26s	45m 34s	122.5%	22.1 GB	40 GB	35.7 GB	9.3 GB
41	1a/f2b1a1	8404130558920346481	MERGED_BAM (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1)	COMPLETED	0	2020-11-13 20:18:24.508	51m 48s	45m 52s	118.1%	26.8 GB	39.9 GB	31.9 GB	6.4 GB
45	e6/871f84	5673961861623745528	MERGED_BAM_FILTER (mp916-MV411-E2F3_R1)	COMPLETED	0	2020-11-13 20:54:35.126	21m 7s	14m 31s	179.1%	5.1 GB	6.1 GB	14.4 GB	6.3 GB
47	f7/630a31	561215902713070323	MERGED_BAM_FILTER (mp917-MV411-SREBP1_R1)	COMPLETED	0	2020-11-13 20:58:55.072	18m 18s	12m 18s	178.5%	5.1 GB	6.1 GB	13.1 GB	5.6 GB
44	15/a49583	2943574451670358764	PRESEQ (mp916-MV411-E2F3_R1)	COMPLETED	0	2020-11-13 20:54:34.527	28m 38s	22m 58s	100.1%	20.8 MB	254.6 MB	5.2 GB	464.1 KB
54	ee/6a7d37	18364022827444548732	MERGED_BAM_REMOVE_ORPHAN (mp916-MV411-E2F3_R1)	COMPLETED	0	2020-11-13 21:15:44.675	12m 38s	7m 26s	155.0%	5.1 GB	6.1 GB	9.6 GB	4.5 GB
55	08/a73a66	14431197053487885609	MERGED_BAM_REMOVE_ORPHAN (mp917-MV411-SREBP1_R1)	COMPLETED	0	2020-11-13 21:17:14.853	12m 8s	6m 30s	157.6%	5.1 GB	6.1 GB	8.5 GB	4 GB
43	46/6b32f5	8432617260716777366	MERGED_BAM (mp918-MV411_GFI_SC-FLAG_GFI_R1)	COMPLETED	0	2020-11-13 20:38:13.268	52m 19s	46m 18s	119.9%	47 GB	70.1 GB	33.6 GB	6.8 GB
46	72/a8e6d4	773150114358695354	PRESEQ (mp917-MV411-SREBP1_R1)	COMPLETED	0	2020-11-13 20:58:54.473	32m 8s	27m 17s	100.1%	38.3 MB	280 MB	4.9 GB	459.3 KB
61	15/4c334e	7720038817006546482	BIGWIG (mp917-MV411-SREBP1_R1)	COMPLETED	0	2020-11-13 21:29:25.778	6m 8s	3m 19s	122.2%	1.9 GB	1.9 GB	4.7 GB	2.3 GB
58	49/7f3c8a	10414069901524047524	BIGWIG (mp916-MV411-E2F3_R1)	COMPLETED	0	2020-11-13 21:28:25.172	7m 48s	3m 55s	123.2%	1.9 GB	1.9 GB	5.4 GB	2.7 GB
56	ed/9f44b4	8936301923233518550	PICARD_METRICS (mp916-MV411-E2F3_R1)	COMPLETED	0	2020-11-13 21:28:26.363	8m 37s	4m 7s	105.0%	1.2 GB	39.3 GB	4.6 GB	766.2 KB
59	28/2b2384	5557231099941165959	PICARD_METRICS (mp917-MV411-SREBP1_R1)	COMPLETED	0	2020-11-13 21:29:26.927	8m 36s	3m 54s	106.0%	1.6 GB	39.3 GB	4.4 GB	758 KB
49	78/ab18ce	15427484890194282328	PRESEQ (mp920-MV411-STAT5B_R1)	COMPLETED	0	2020-11-13 21:03:04.624	36m 8s	30m 27s	100.1%	21.8 MB	256.4 MB	5.3 GB	475.6 KB
48	64/fa3c25	2316595952144052619	MERGED_BAM_FILTER (mp920-MV411-STAT5B_R1)	COMPLETED	0	2020-11-13 21:03:05.333	36m 57s	28m 24s	184.9%	5.1 GB	6.1 GB	26.5 GB	15.3 GB
60	5c/02faad	14723595831815189611	PHANTOMPEAKQUALTOOLS (mp917-MV411-SREBP1_R1)	COMPLETED	0	2020-11-13 21:29:26.482	12m 26s	9m 19s	77.8%	1.1 GB	1.6 GB	11.7 GB	10.3 GB
57	87/168be4	3046690804891379633	PHANTOMPEAKQUALTOOLS (mp916-MV411-E2F3_R1)	COMPLETED	0	2020-11-13 21:28:25.829	13m 37s	10m 14s	78.6%	1.2 GB	1.7 GB	13.1 GB	11.5 GB
53	35/e39e22	5257406419968827546	PRESEQ (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1)	COMPLETED	0	2020-11-13 21:10:14.467	32m 48s	28m 8s	100.0%	27 MB	264.9 MB	6.4 GB	486.6 KB
