ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#"
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59156994.102627,309.58899821109,229.38935268005,155,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59870342.868723,309.33104746318,228.39779050737,156,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59922276.226694,309.01253413569,228.52204307229,157,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59952652.341734,309.17130295502,228.35166056485,158,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59990867.454203,309.0556245202,228.65899253549,159,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60225057.502413,309.23580423676,228.54326250366,160,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60088854.922073,309.00896074882,228.58681897494,161,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60476885.29484,309.23034235811,228.8398791296,162,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60227017.251771,308.71201028244,229.44658661981,163,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60441609.806406,308.89916994958,229.07445325292,164,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60860016.294212,308.84691676059,229.15488649171,165,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60678739.478652,309.24016955995,229.29822365765,166,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60853157.171461,309.28658035844,229.28199120815,167,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61272543.533946,308.85777454383,229.66981976939,168,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61265684.411195,309.07736229288,230.18869554091,169,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61870267.087955,309.24197431146,229.71757653506,170,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61762480.873297,308.69306373055,229.75298662563,171,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61858508.59181,308.59784726512,229.99229355764,172,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,62296512.57319,308.63066251416,230.44335912923,173,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,62717858.685032,308.85801331125,230.69320063744,174,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63098050.060369,308.62106718017,230.10563095941,175,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63198977.152275,308.34765182877,230.00507775556,176,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63536054.041749,308.52843879644,229.87504048365,177,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63685974.86759,308.54551189341,229.70731144413,178,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63999534.764775,308.94583090915,229.92200753284,179,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63824137.197287,309.0243724572,230.08684271129,180,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63906446.670298,309.2518974532,230.09398334841,181,31.30295,31.30295,"Yellow",0,0
