mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
0,3,0,0,0,3,4,5,2,4,0,3,5,7,3,1,PPP5C
21,18,6,23,4,27,14,27,34,41,43,29,14,4,14,8,CEP68
52,34,30,34,30,50,78,35,82,59,51,69,39,3,57,24,MAP4K3
100,69,53,369,19,118,88,92,255,136,74,315,42,82,40,148,TYROBP
21,12,4,40,30,20,0,0,25,5,0,10,12,10,29,8,TMEM159
65,47,39,91,47,71,52,82,46,136,64,102,29,66,30,32,BRCA1
66,68,51,66,31,129,91,90,54,143,54,144,68,59,37,60,ERCC1
6,11,26,11,2,10,9,19,19,19,6,13,4,6,12,16,MBTPS2
1,2,0,7,1,7,2,7,6,10,3,23,9,4,0,0,PRICKLE3
25,32,0,36,6,32,13,40,31,33,13,25,9,11,14,8,EXTL3
182,105,15,107,126,144,93,139,125,129,147,265,60,40,70,46,ELOVL5
12,0,0,27,3,15,12,15,0,27,36,21,9,3,12,12,KDM5D
0,1,0,9,0,3,0,11,18,3,4,0,0,4,0,7,CALCOCO1
147,65,10,144,50,82,52,84,131,116,89,80,41,16,38,58,UBR7
30,4,16,11,31,19,28,41,37,26,25,33,23,1,22,17,MAP4K5
8,6,8,3,7,4,8,8,12,14,6,5,4,5,3,10,PSMC4
22,18,32,45,11,38,24,48,67,49,22,45,42,40,23,29,MAN2B2
31,74,3,15,29,102,35,66,51,122,62,85,23,45,46,42,SLC25A39
7,1,0,0,4,2,3,0,2,11,0,3,0,4,0,0,MVP
42,21,13,20,28,38,25,36,57,36,49,75,19,23,41,29,NUB1
78,62,44,45,46,51,86,107,88,84,55,86,36,27,23,33,PGM3
4,4,1,0,6,1,0,4,16,2,1,9,0,1,2,0,RWDD2A
336,191,156,412,266,334,220,349,471,404,362,547,284,99,320,210,CLK1
8,6,0,14,6,8,16,26,22,28,28,12,14,10,6,4,POLR3B
7,10,2,36,0,9,8,11,7,37,13,23,4,7,2,19,ANGEL1
74,69,31,51,39,78,9,95,177,79,104,171,37,22,64,46,RNF14
3,3,0,3,6,6,6,6,6,0,0,15,0,8,0,18,DNASE1L1
34,22,0,57,44,78,63,60,31,128,32,101,25,35,24,20,DDX11
6,4,0,4,0,5,3,4,11,2,5,6,1,2,1,1,HEBP1
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,CD6
92,101,18,119,33,105,104,123,163,109,117,110,39,71,59,59,TACC3
31,11,6,13,35,26,29,17,38,18,26,39,9,9,13,17,UFL1
32,28,2,31,13,33,24,37,60,67,20,41,19,23,8,21,POLA2
1,11,0,11,0,12,13,8,11,16,2,10,6,5,0,5,ZC3H3
8,15,0,41,10,46,26,10,60,33,12,112,44,44,29,10,CAPN1
12,12,0,20,4,19,12,23,42,33,21,49,13,19,6,15,ACPP
96,34,6,56,62,54,111,59,71,53,54,68,42,13,54,18,MDH1
141,121,34,94,106,165,104,183,187,168,148,178,132,80,129,71,SLC30A9
1,3,6,0,3,5,6,5,10,0,0,7,1,0,7,4,MTMR11
10,14,0,9,1,3,6,33,20,16,9,16,5,13,7,7,COX15
144,122,74,112,57,180,56,205,128,301,109,247,190,168,77,154,CCDC88C
192,96,159,104,85,123,115,82,161,141,167,215,63,26,87,59,YAF2
97,46,117,15,16,56,57,53,127,62,91,88,14,12,37,31,ZMYND11
3,1,0,11,3,16,2,6,6,14,9,27,7,5,13,6,WAS
147,120,31,188,86,140,186,167,421,212,97,324,132,86,148,84,BID
300,100,127,50,186,176,300,139,403,208,215,300,202,37,185,64,MATR3
29,22,4,18,12,16,20,16,14,37,1,26,11,26,14,13,XYLT2
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STMN4
21,16,5,36,13,39,8,42,22,25,17,14,20,27,21,5,NUDCD3
27,21,0,119,29,32,37,39,78,66,99,100,31,44,25,25,GLT8D1
53,62,25,30,42,80,35,53,116,84,140,104,62,27,38,51,ATP2C1
56,62,32,92,116,99,51,126,132,122,65,120,167,99,79,191,IGF1
4,4,0,2,1,2,9,3,3,8,0,7,2,2,8,9,SLC38A5
50,30,12,36,12,48,30,46,24,56,62,44,24,16,8,12,RALBP1
0,0,0,12,1,1,1,0,0,8,2,0,1,0,0,0,SLC11A1
60,46,16,40,57,80,45,53,89,64,72,78,26,15,35,33,AGPS
23,10,0,7,0,12,3,30,34,27,22,40,9,3,17,8,CXorf56
13,13,0,20,8,13,10,16,5,18,20,13,16,7,6,3,TTC27
14,15,4,3,4,22,19,21,53,27,21,41,10,4,16,24,ZNF582
12,11,0,17,5,15,0,15,20,15,35,47,2,5,8,0,PHLDB1
0,0,0,1,0,0,0,3,0,2,0,1,2,2,0,0,PRDM11
136,102,7,111,85,418,124,279,66,111,97,174,133,358,214,141,CD74
22,30,11,55,37,43,45,40,65,59,25,47,8,15,12,18,ZRANB1
9,21,0,30,12,40,9,27,3,34,21,30,6,12,0,9,NCDN
36,21,12,37,27,58,18,86,36,74,32,48,39,52,24,20,ADGRA2
9,5,2,1,7,6,17,9,8,10,9,8,1,2,3,6,ZFP64
13,18,6,42,14,15,14,9,29,18,30,37,15,0,16,16,MNAT1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,SAMD4A
557,702,293,664,223,417,246,508,1043,1461,698,1696,432,353,253,471,RUNX3
76,32,25,20,35,52,59,41,100,60,84,41,47,12,19,6,MRE11
