,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
TYW5,112.0,128.0,122.0,137.5,158.0
MITD1,120.0,125.0,45.0,186.0,142.0
DIS3L2,128.0,167.0,180.0,160.0,161.0
CMPK2,65.0,89.0,39.0,90.5,82.5
TAF8,210.0,153.0,108.0,198.5,159.5
TMEM18,185.0,315.0,140.0,312.0,297.5
129790,16.0,10.0,5.0,26.5,12.0
RBM45,127.0,144.0,129.0,156.0,139.0
BBS5,5.0,9.0,6.0,9.0,8.0
ICA1L,74.0,65.0,78.0,77.0,71.0
FAM168B,298.0,510.0,309.0,374.0,415.5
CLHC1,40.0,42.0,32.0,44.0,51.0
AP1S3,1042.0,872.0,793.0,906.5,929.5
C2orf76,8.0,43.0,21.0,46.0,36.5
TTC32,30.0,45.0,18.0,36.0,52.5
UBR3,55.0,74.0,72.0,99.0,80.0
KCTD18,24.0,17.0,3.0,28.5,17.0
ZNF513,36.0,81.0,41.0,51.5,67.5
GALM,1373.0,1380.0,1032.0,1444.0,1381.5
ZFAND2B,341.0,498.0,329.0,503.5,448.0
SLC66A3,135.0,153.0,104.0,163.5,162.0
TMEM182,13.0,29.0,18.0,12.5,21.0
AHSA2P,117.0,264.0,211.0,252.5,216.5
MTERF4,195.0,182.0,165.0,219.5,195.0
CCDC58,645.0,799.0,736.0,781.0,766.0
DNAJC19,307.0,310.0,193.0,437.0,312.5
FAM131A,10.0,20.0,2.0,48.0,26.5
CHCHD4,1150.0,1287.0,1204.0,1221.5,1277.0
CRYBG3,12.0,12.0,6.0,23.5,13.0
DCBLD2,18.0,49.0,37.0,42.0,45.0
FAM43A,407.0,393.0,326.0,342.5,467.0
TPRA1,292.0,459.0,463.0,263.0,371.0
TMEM42,231.0,259.0,211.0,275.5,250.0
NUDT16,218.0,185.0,131.0,215.5,207.5
METTL6,361.0,278.0,193.0,265.5,284.5
TAMM41,368.0,535.0,408.0,415.5,474.0
GLYCTK,64.0,76.0,57.0,87.0,77.0
PPM1M,43.0,59.0,50.0,44.0,37.5
RPL32P3,67.0,78.0,53.0,66.0,64.5
OCIAD2,285.0,405.0,228.0,427.0,373.0
SCLT1,47.0,70.0,46.0,68.0,57.0
C4orf33,39.0,62.0,21.0,111.0,80.5
LIN54,116.0,200.0,97.0,236.5,207.5
FAM241A,35.0,29.0,37.0,55.0,31.0
TMPRSS11B,2.0,2.0,7.0,1.0,3.0
GNPDA2,27.0,20.0,9.0,40.0,21.0
CPEB2,139.0,114.0,68.0,126.5,127.0
AASDH,95.0,169.0,83.0,182.5,152.5
SLC9B2,56.0,42.0,35.0,71.5,46.5
SETD9,29.0,25.0,30.0,54.0,39.5
IL31RA,0.0,0.0,0.0,1.5,1.5
EMB,1036.0,1448.0,580.0,2760.5,1577.5
PPARGC1B,241.0,223.0,160.0,160.5,211.5
PRRC1,299.0,383.0,209.0,398.5,371.5
NADK2,475.0,494.0,459.0,597.0,524.0
JMY,59.0,52.0,37.0,45.5,55.0
CCDC127,88.0,93.0,89.0,133.0,119.0
ATPSCKMT,109.0,138.0,153.0,152.5,126.0
DNAJC21,151.0,181.0,121.0,209.5,169.5
GRPEL2,116.0,55.0,63.0,68.5,57.5
LSM11,136.0,93.0,129.0,90.0,98.0
POC5,6.0,5.0,2.0,14.0,8.0
STARD4,80.0,98.0,65.0,122.0,100.0
WDR36,267.0,393.0,189.0,450.5,365.5
NUDCD2,294.0,370.0,181.0,495.5,372.5
UBLCP1,144.0,148.0,81.0,166.5,156.5
SHROOM1,19.0,41.0,20.0,23.0,39.5
C5orf24,549.0,451.0,321.0,480.5,538.0
ADAT2,745.0,989.0,769.0,1251.5,950.5
STXBP5,201.0,298.0,182.0,264.0,279.5
NCOA7,53.0,66.0,40.0,47.5,53.5
HINT3,165.0,96.0,86.0,153.5,132.0
SDHAF4,52.0,57.0,36.0,63.0,60.0
CD109,25.0,26.0,9.0,44.0,42.5
RAET1E,5.0,8.0,3.0,8.0,8.0
PM20D2,727.0,1052.0,548.0,1078.5,952.5
HUS1B,3.0,2.0,2.0,9.0,2.0
ZNF786,10.0,15.0,16.0,10.5,13.5
MTPN,3506.0,4070.0,3410.0,3553.5,3677.0
MPLKIP,230.0,334.0,182.0,348.5,340.0
C7orf31,32.0,55.0,23.0,24.5,39.5
CCDC26,444.0,357.0,367.0,430.0,330.0
FAM92A,32.0,22.0,17.0,31.0,22.5
VPS37A,230.0,249.0,186.0,289.0,291.5
NDUFAF6,69.0,69.0,65.0,90.0,83.0
TMEM68,109.0,166.0,103.0,127.5,146.0
UBXN2B,137.0,231.0,129.0,264.0,232.5
GPAT4,2336.0,2691.0,2356.0,2542.0,2727.5
LETM2,40.0,17.0,17.0,25.5,15.5
HGSNAT,159.0,276.0,224.0,292.5,260.5
RNF183,8.0,2.0,1.0,1.0,3.0
NACC2,408.0,527.0,357.0,442.0,518.5
C9orf116,58.0,82.0,74.0,56.5,64.5
CARNMT1,148.0,191.0,111.0,190.0,183.0
C9orf85,105.0,42.0,58.0,60.5,55.5
DIPK1B,17.0,7.0,20.0,12.0,9.0
PTRH1,33.0,52.0,71.0,54.5,54.5
PTPDC1,7.0,14.0,7.0,11.0,21.5
RPP25L,270.0,310.0,340.0,353.5,314.5
SLITRK4,81.0,63.0,64.0,47.5,61.0
BEND2,0.0,0.0,0.0,6.0,0.0
MAP2K4P1,14.0,11.0,0.0,10.5,8.5
FAM199X,58.0,95.0,34.0,117.0,84.0
AMER1,30.0,29.0,38.0,19.0,35.0
APOOL,180.0,202.0,82.0,257.0,205.5
FUNDC1,64.0,62.0,51.0,100.5,64.5
UPRT,110.0,99.0,42.0,138.5,95.5
GAB3,117.0,54.0,105.0,81.0,63.0
DOCK11,72.0,65.0,51.0,93.0,71.0
SPIN4,1013.0,1071.0,1249.0,998.5,883.0
ASB6,122.0,120.0,83.0,119.5,131.0
ASB7,63.0,54.0,32.0,78.0,55.0
ASB8,161.0,130.0,108.0,162.5,130.0
ASB9,0.0,1.0,0.0,0.0,0.5
MYL6B,180.0,166.0,232.0,210.5,183.5
NEK7,50.0,52.0,34.0,60.5,54.0
C20orf96,356.0,547.0,354.0,542.5,484.5
ZBTB46,10.0,10.0,8.0,9.5,11.0
NOL4L,67.0,100.0,72.0,76.0,86.5
SAMD10,293.0,356.0,289.0,260.5,286.0
BRI3BP,221.0,274.0,217.0,330.0,292.5
SOGA1,297.0,416.0,246.0,299.0,377.5
MACROD2,7.0,4.0,7.0,8.5,6.5
DYNLL2,436.0,423.0,359.0,294.0,443.0
UBE2F,137.0,190.0,160.0,170.5,163.5
SMCR8,96.0,84.0,70.0,107.0,96.0
SRXN1,832.0,1055.0,559.0,1008.0,1085.5
ROMO1,1465.0,1838.0,1552.0,1515.0,1676.5
ZSWIM3,44.0,77.0,81.0,65.0,71.0
NANP,79.0,48.0,68.0,68.0,55.0
ZNF280B,57.0,28.0,51.0,26.0,36.5
SIRPA,903.0,1288.0,810.0,1386.5,1275.5
SREK1,678.0,1044.0,776.0,1054.5,889.5
STK35,298.0,423.0,264.0,444.0,403.5
DCANP1,40.0,44.0,26.0,48.5,43.0
MIB2,71.0,102.0,83.0,77.5,93.0
DUSP19,12.0,7.0,4.0,13.5,8.5
SAMD8,19.0,14.0,5.0,11.5,12.5
CFL1P1,0.0,0.0,9.0,1.0,0.5
TRUB1,101.0,181.0,79.0,207.5,177.5
VTI1A,275.0,271.0,246.0,315.5,284.5
EIF5AL1,113.0,98.0,75.0,163.5,118.5
FGFBP3,124.0,133.0,119.0,154.0,131.5
CACUL1,893.0,898.0,678.0,1054.5,986.0
LDLRAD3,750.0,1042.0,628.0,1018.5,1030.5
XRRA1,43.0,29.0,37.0,34.0,34.5
FAM76B,99.0,116.0,64.0,151.0,110.0
SESN3,22.0,27.0,9.0,36.0,34.5
PIWIL4,111.0,190.0,99.0,177.5,197.0
KBTBD3,3.0,0.0,3.0,6.0,0.0
CWF19L2,8.0,9.0,0.0,64.0,13.5
POGLUT3,65.0,43.0,39.0,38.0,47.0
SPINDOC,33.0,37.0,40.0,48.5,40.0
SPTY2D1,175.0,158.0,101.0,135.5,161.0
DNHD1,6.0,10.0,4.0,14.5,4.5
PRICKLE1,252.0,208.0,193.0,142.0,216.0
SLC2A14,16.0,24.0,11.0,27.0,28.0
BCDIN3D,62.0,62.0,38.0,77.0,73.0
ALG10B,92.0,132.0,68.0,140.0,126.0
ZNF664,103.0,163.0,60.0,196.5,133.0
ETFRF1,77.0,85.0,67.0,109.0,77.5
CPNE8,12.0,24.0,9.0,37.0,24.5
TMEM120B,228.0,431.0,254.0,435.5,404.0
WDR66,3.0,2.0,0.0,1.5,2.0
E2F7,36.0,17.0,16.0,27.5,17.0
SOCS2-AS1,10.0,11.0,8.0,6.0,13.0
C12orf66,36.0,22.0,21.0,32.0,31.0
PHETA1,99.0,77.0,91.0,80.5,89.5
LACC1,193.0,75.0,66.0,90.5,79.0
HNRNPA1L2,31.0,36.0,19.0,33.0,41.0
B3GLCT,66.0,105.0,36.0,98.0,92.5
SLC38A6,26.0,20.0,17.0,25.0,20.0
FRMD6-AS1,3.0,5.0,1.0,0.5,3.5
PTGR2,61.0,52.0,69.0,69.5,47.5
CEP128,29.0,28.0,19.0,55.5,30.5
MDP1,90.0,99.0,87.0,100.5,102.0
145694,4.0,7.0,5.0,2.5,6.0
LYSMD4,14.0,2.0,9.0,17.5,10.5
GCOM1,162.0,240.0,137.0,256.5,259.0
145783,8.0,3.0,0.0,4.5,4.0
C15orf61,422.0,429.0,403.0,438.5,451.5
MESP2,28.0,24.0,21.0,23.5,26.5
NRG4,44.0,49.0,24.0,53.0,48.0
ZSCAN29,257.0,182.0,156.0,254.5,226.5
TTBK2,51.0,92.0,62.0,59.5,64.0
CDAN1,16.0,51.0,21.0,39.5,49.5
ZFP90,122.0,116.0,121.0,122.0,116.5
CMTM4,88.0,111.0,101.0,184.0,119.5
ZNF597,13.0,10.0,14.0,5.0,13.5
TMED6,7.0,16.0,9.0,3.0,10.5
ZNF785,18.0,8.0,19.0,9.0,11.0
ZNF688,35.0,69.0,64.0,33.5,34.5
TOM1L2,45.0,72.0,45.0,57.0,67.0
TEPSIN,194.0,373.0,234.0,292.0,257.5
B3GNTL1,1009.0,1668.0,1505.0,1142.0,1475.0
CD300LF,242.0,348.0,370.0,332.5,326.0
SLFN13,187.0,203.0,169.0,184.0,211.0
ARHGAP27P1,310.0,345.0,250.0,349.5,361.5
KIF18B,104.0,208.0,72.0,237.5,173.5
RUNDC1,225.0,158.0,188.0,121.0,145.5
EME1,99.0,97.0,108.0,99.0,98.0
TMEM199,301.0,367.0,311.0,364.5,384.5
PROCA1,27.0,46.0,16.0,34.0,35.0
DHRS13,179.0,256.0,288.0,196.5,243.5
KCTD11,22.0,23.0,13.0,23.0,22.5
TMC8,280.0,436.0,294.0,313.0,335.5
TRIM16L,10.0,14.0,14.0,21.5,14.0
WIPF2,928.0,787.0,714.0,760.0,840.0
TMEM99,7.0,8.0,2.0,14.0,7.5
C18orf25,141.0,126.0,145.0,142.0,129.0
LINC00526,1.0,0.0,0.0,2.5,2.0
VSIG10L,12.0,12.0,20.0,35.0,12.5
SPACA6,33.0,39.0,54.0,17.5,39.5
ZNF480,571.0,486.0,386.0,505.0,504.5
ZNF534,185.0,197.0,72.0,292.0,243.0
ZNF578,6.0,12.0,13.0,4.5,6.0
ZNF417,22.0,17.0,19.0,10.0,16.5
ZNF548,64.0,30.0,25.0,57.0,41.5
PPM1N,19.0,29.0,21.0,62.5,39.5
ILF3-DT,360.0,250.0,306.0,166.0,264.5
TPM3P9,332.0,175.0,261.0,194.5,190.5
ZNF524,182.0,366.0,300.0,351.0,304.0
ZNF784,881.0,445.0,539.0,483.5,513.0
SPC24,895.0,974.0,711.0,1028.0,948.5
DACT3,36.0,40.0,46.0,40.5,38.5
SIX5,62.0,100.0,98.0,62.5,68.5
ZNF420,79.0,41.0,43.0,24.5,44.5
ZNF565,12.0,6.0,15.0,17.0,13.0
ZNF583,5.0,1.0,4.0,7.5,1.0
FAM98C,71.0,73.0,56.0,76.5,76.0
CAPN12,14.0,14.0,8.0,22.5,13.0
DPY19L3,240.0,362.0,184.0,453.5,349.0
TICAM1,90.0,102.0,86.0,124.5,104.0
CILP2,358.0,350.0,340.0,336.0,350.5
ZNF558,93.0,116.0,66.0,144.5,119.5
LINC00662,160.0,170.0,103.0,129.5,122.5
ZNF714,696.0,560.0,616.0,569.0,641.5
C19orf25,1794.0,2458.0,2189.0,1764.5,2226.0
ATP8B3,11.0,11.0,8.0,10.0,5.0
DIRAS1,62.0,94.0,68.0,55.0,87.5
ZNF555,34.0,16.0,13.0,14.5,27.5
ZNF569,196.0,112.0,88.0,163.0,119.0
ZNF570,35.0,21.0,14.0,15.0,23.0
C1orf74,124.0,106.0,72.0,79.0,109.0
CREB3L4,122.0,110.0,98.0,133.5,117.0
BROX,146.0,199.0,103.0,237.5,192.5
MRPL20-AS1,157.0,216.0,169.0,183.5,211.0
SAMD13,123.0,208.0,125.0,122.0,163.0
C1orf52,312.0,288.0,149.0,245.5,290.0
PHF13,199.0,114.0,136.0,173.0,181.5
ANKRD35,2.0,4.0,11.0,2.0,3.0
B3GALNT2,326.0,596.0,198.0,705.0,522.5
GCSAML,36.0,19.0,15.0,23.0,13.0
GCSAML-AS1,4.0,0.0,2.0,0.0,1.0
SLC30A7,206.0,137.0,118.0,185.5,175.0
ZNF436-AS1,7.0,2.0,4.0,5.0,3.5
MOB3C,132.0,101.0,121.0,125.5,113.5
NBPF12,4.0,0.0,1.0,7.0,3.5
RC3H1,295.0,236.0,191.0,285.5,299.0
ZNF362,144.0,280.0,139.0,206.5,267.0
MANEAL,38.0,38.0,49.0,39.5,34.5
IL23R,6.0,0.0,1.0,5.0,1.5
EXOC8,140.0,64.0,120.0,70.5,120.5
PDIK1L,43.0,5.0,13.0,17.0,21.0
CCDC17,3.0,7.0,0.0,4.0,6.5
RNF187,1427.0,1800.0,1406.0,1568.0,1683.5
SHLD1,59.0,57.0,36.0,73.0,67.5
NCOR1P1,1.0,0.0,3.0,0.5,1.0
COMMD7,488.0,771.0,644.0,891.5,711.0
LSM14B,198.0,341.0,174.0,361.0,346.5
SIK1,9.0,2.0,11.0,4.0,3.0
LINC00896,5.0,0.0,3.0,1.5,3.0
YDJC,978.0,928.0,1038.0,671.5,883.0
HSCB,80.0,96.0,70.0,94.5,101.0
CCDC117,369.0,466.0,261.0,480.0,460.0
DUSP18,101.0,115.0,76.0,100.0,110.5
MEI1,31.0,23.0,10.0,22.5,21.5
PHETA2,4.0,3.0,1.0,6.5,4.0
NFAM1,13.0,10.0,10.0,9.5,12.0
CDPF1,56.0,78.0,47.0,51.5,49.5
TTL,429.0,508.0,365.0,507.5,503.5
CKAP2L,471.0,272.0,214.0,373.0,321.0
COPS9,665.0,1046.0,732.0,983.0,948.5
COMMD1,171.0,197.0,170.0,190.0,200.0
FBXO41,66.0,99.0,73.0,68.0,84.5
LINC00342,737.0,943.0,541.0,818.5,860.0
150776,1139.0,1772.0,1071.0,1689.5,1692.0
FAM117B,75.0,98.0,57.0,80.5,87.0
GAREM2,184.0,186.0,135.0,171.0,164.5
PUS10,10.0,4.0,13.0,4.0,2.5
LINC01963,73.0,137.0,79.0,103.5,118.5
LINC01106,7.0,9.0,1.0,6.0,11.0
KANSL1L,7.0,10.0,9.0,8.0,11.0
PLB1,12.0,6.0,10.0,17.0,9.0
LINC02610,42.0,41.0,15.0,21.5,36.5
ERFE,7.0,16.0,4.0,7.0,12.0
ARL6IP6,42.0,30.0,40.0,86.5,54.5
METTL21A,382.0,460.0,370.0,402.5,392.5
CCNYL1,647.0,551.0,405.0,579.5,562.5
KLHL23,10.0,14.0,12.0,24.5,14.5
SGO2,86.0,112.0,106.0,158.5,133.0
FAHD2B,70.0,110.0,83.0,71.0,94.0
RMDN2,12.0,21.0,10.0,31.5,15.0
MSL3P1,119.0,100.0,76.0,70.5,80.0
WDSUB1,22.0,9.0,4.0,17.0,9.0
GPR155,25.0,12.0,24.0,23.5,18.5
TTC14,848.0,666.0,487.0,678.5,714.5
DTX3L,653.0,795.0,553.0,669.0,760.5
SGO1,112.0,113.0,83.0,143.0,101.0
PPM1L,182.0,181.0,93.0,221.0,201.0
LRRC34,4.0,12.0,5.0,11.0,8.0
CCDC12,370.0,470.0,316.0,508.5,500.5
MB21D2,10.0,11.0,3.0,20.5,11.5
PPP4R2,432.0,552.0,361.0,586.0,555.5
XXYLT1,617.0,664.0,649.0,616.5,708.5
RNF38,82.0,101.0,49.0,114.0,100.0
GLIPR2,276.0,470.0,289.0,397.0,427.5
CMC1,23.0,34.0,18.0,66.0,33.0
CCDC50,351.0,395.0,220.0,368.5,368.0
SPICE1,45.0,36.0,23.0,50.5,37.5
CIDECP1,27.0,26.0,22.0,29.5,28.0
CNTN4,8.0,21.0,0.0,8.5,18.0
NFXL1,136.0,103.0,89.0,127.0,110.5
PAQR3,39.0,54.0,24.0,62.5,42.0
SHISA3,0.0,0.0,1.0,0.5,0.0
SCFD2,130.0,162.0,98.0,122.5,147.0
THAP6,67.0,25.0,22.0,24.0,28.0
FAM53A,23.0,19.0,16.0,17.0,18.0
PPM1K,72.0,73.0,53.0,106.0,87.5
TRMT44,47.0,56.0,46.0,33.0,53.5
SLC38A9,38.0,58.0,29.0,61.0,43.5
CREBRF,83.0,60.0,56.0,117.0,63.5
CEP120,190.0,248.0,240.0,303.0,273.5
TMEM167A,1591.0,1851.0,1465.0,1843.5,1808.0
MBLAC2,95.0,39.0,74.0,83.5,68.5
TMEM161B,452.0,340.0,297.0,303.0,357.0
SRFBP1,132.0,106.0,111.0,113.5,112.5
ZMAT2,2822.0,3065.0,2349.0,2901.0,3030.5
ARSK,24.0,53.0,20.0,53.0,48.5
CCDC112,29.0,23.0,28.0,18.0,30.0
PRELID2,15.0,7.0,0.0,8.5,7.0
RNF145,520.0,814.0,403.0,879.0,829.0
SNRNP48,127.0,151.0,93.0,184.0,184.0
CNKSR3,22.0,19.0,27.0,36.5,19.5
MBOAT1,119.0,110.0,81.0,153.0,121.5
PNLDC1,8.0,10.0,9.0,3.5,10.0
CCDC167,709.0,752.0,825.0,870.5,783.0
BMT2,155.0,297.0,162.0,235.0,257.0
FMC1,635.0,906.0,577.0,842.5,847.5
VKORC1L1,567.0,503.0,386.0,520.0,503.0
KCTD7,77.0,101.0,104.0,70.5,81.0
ZNF425,5.0,6.0,4.0,6.0,7.0
155060,15.0,27.0,20.0,26.5,22.0
ZNF746,56.0,33.0,22.0,42.0,36.0
RBM33,252.0,609.0,314.0,513.5,469.0
157247,158.0,166.0,79.0,155.0,175.0
PRAG1,253.0,173.0,218.0,199.5,196.0
CDCA2,350.0,381.0,267.0,316.5,371.5
TMEM65,272.0,272.0,198.0,343.5,264.0
RDH10,94.0,177.0,81.0,255.0,172.0
ANKRD46,44.0,88.0,51.0,67.5,67.5
ESCO2,61.0,102.0,35.0,135.0,110.0
FBXO16,21.0,19.0,5.0,17.0,16.0
LINC00599,152.0,106.0,156.0,144.5,105.5
LRATD2,4.0,0.0,0.0,2.5,3.0
C8orf37,36.0,31.0,26.0,29.5,43.0
VPS13B,32.0,62.0,30.0,65.5,56.0
ERICH1,129.0,155.0,58.0,194.5,159.0
FAM91A1,574.0,838.0,413.0,892.5,801.5
C8orf48,8.0,1.0,3.0,5.5,2.0
CAMSAP1,226.0,269.0,213.0,195.5,266.5
DOCK8-AS1,46.0,14.0,24.0,23.0,14.0
C9orf163,8.0,4.0,7.0,2.5,5.5
TTLL11,43.0,22.0,21.0,28.0,25.5
HSD17B7P2,15.0,5.0,13.0,6.5,5.5
TTC39B,8.0,5.0,2.0,7.0,9.5
TRMT10B,161.0,136.0,108.0,131.5,131.5
FAM120AOS,312.0,342.0,322.0,315.5,353.5
KIAA2026,32.0,12.0,25.0,26.5,21.0
ZNF483,1.0,6.0,1.0,5.5,6.0
KIAA1958,51.0,51.0,45.0,40.0,47.5
TSTD2,134.0,226.0,100.0,180.0,192.0
ZXDB,30.0,6.0,2.0,17.5,8.0
MOSPD2,53.0,76.0,75.0,75.5,72.0
NKAPP1,165.0,179.0,121.0,234.0,166.0
USP51,14.0,5.0,6.0,11.5,5.0
158960,44.0,67.0,64.0,78.5,67.5
CXorf38,150.0,142.0,70.0,149.5,146.0
FAM122B,380.0,414.0,250.0,499.5,379.0
FAM122C,10.0,5.0,5.0,13.5,5.5
USP54,34.0,68.0,34.0,43.0,60.0
SLC35G1,15.0,7.0,0.0,2.5,6.0
LDHAL6A,0.0,0.0,0.0,4.0,1.0
TMTC2,5.0,13.0,6.0,20.0,15.0
CLEC12A,82.0,36.0,48.0,75.0,53.5
CLECL1,591.0,344.0,457.0,477.0,368.0
TMTC3,18.0,25.0,19.0,13.5,25.5
ALDH1L2,292.0,170.0,166.0,208.0,154.0
DENND5B,173.0,177.0,129.0,135.0,174.0
PPTC7,75.0,29.0,31.0,50.5,42.0
DGKH,242.0,285.0,192.0,317.0,235.5
GPR180,84.0,81.0,102.0,133.0,104.5
TMEM229B,37.0,49.0,84.0,41.5,36.0
NOP9,1055.0,968.0,772.0,995.5,1040.5
SPRED1,48.0,27.0,49.0,34.5,34.0
PGBD4,5.0,8.0,1.0,6.0,3.5
ADAL,66.0,56.0,72.0,73.5,67.5
ZFPM1,29.0,40.0,23.0,18.0,35.5
ITPRIPL2,203.0,107.0,161.0,134.0,145.0
ZFP1,72.0,38.0,42.0,52.0,41.0
SLFN5,9.0,4.0,3.0,5.0,12.0
RETREG3,262.0,398.0,331.0,336.5,363.5
TRPV3,2.0,9.0,2.0,9.0,3.0
USP32P1,2.0,0.0,3.0,11.0,1.0
ZNF519,26.0,14.0,11.0,32.5,18.0
C18orf54,42.0,42.0,35.0,48.0,35.0
ZNF497,4.0,8.0,0.0,7.5,3.0
ZNF550,44.0,32.0,20.0,55.0,47.5
ZNF296,95.0,19.0,66.0,12.5,26.5
DEDD2,244.0,263.0,195.0,246.5,264.0
ZNF579,60.0,33.0,64.0,36.5,38.5
ZNF791,475.0,280.0,330.0,226.5,328.0
ZNF564,49.0,49.0,40.0,35.5,54.0
ZNF114,72.0,22.0,40.0,26.5,24.0
ZNF383,14.0,9.0,4.0,3.0,10.0
EID2,116.0,95.0,81.0,95.0,119.5
ZNF780B,53.0,58.0,31.0,34.0,50.0
PRR22,12.0,25.0,14.0,30.5,17.0
ZNF100,49.0,16.0,30.0,47.0,45.0
ZNF540,0.0,0.0,0.0,1.0,0.0
DENND1B,267.0,228.0,165.0,254.0,257.5
TOR1AIP2,764.0,800.0,539.0,825.5,863.0
IFNLR1,5.0,3.0,4.0,2.5,3.0
CITED4,653.0,517.0,591.0,386.5,524.5
SASS6,36.0,49.0,24.0,36.0,44.5
SDE2,37.0,30.0,25.0,25.0,38.0
CNST,75.0,90.0,37.0,68.0,57.0
PAQR7,96.0,79.0,98.0,97.0,87.0
CCDC138,51.0,47.0,29.0,66.0,51.5
ADGRF3,1.0,3.0,2.0,1.5,4.0
OXER1,13.0,21.0,21.0,25.0,22.0
UBXN2A,52.0,50.0,19.0,54.0,47.5
PARP15,5.0,8.0,3.0,7.0,11.0
RNF168,43.0,28.0,23.0,33.0,40.0
CHST13,131.0,128.0,76.0,138.5,123.0
SPATA5,525.0,451.0,373.0,449.5,466.5
BBS12,12.0,4.0,2.0,4.0,4.0
MMAA,21.0,23.0,8.0,24.0,28.5
ZBTB49,15.0,14.0,11.0,17.0,18.5
TIGD2,31.0,52.0,44.0,29.5,48.0
MIER3,14.0,9.0,27.0,17.5,8.5
TENT2,46.0,93.0,54.0,115.5,103.5
DCP2,470.0,526.0,435.0,540.0,516.5
FAM151B,5.0,7.0,3.0,8.5,4.0
ZNF92,60.0,56.0,48.0,31.0,65.5
THAP5,302.0,275.0,181.0,303.5,319.0
CCDC71L,32.0,32.0,4.0,23.0,31.5
ZNF467,9.0,10.0,13.0,11.5,3.5
ZNF800,156.0,36.0,73.0,59.0,52.5
TMEM64,47.0,53.0,47.0,90.0,75.5
ZNF596,20.0,16.0,11.0,4.0,21.0
OLFML2A,0.0,4.0,0.0,7.5,1.5
QSOX2,51.0,45.0,55.0,90.5,81.0
SPIN3,22.0,3.0,11.0,27.5,8.0
TCEANC,26.0,9.0,17.0,9.0,10.0
FUT11,2.0,8.0,0.0,6.5,8.0
PWWP2B,367.0,449.0,322.0,407.0,446.0
SSBP4,560.0,889.0,539.0,857.5,821.5
ACTL10,6.0,1.0,11.0,4.0,9.0
DHX36,28.0,13.0,7.0,36.5,25.5
GIMAP1,30.0,13.0,13.0,19.5,15.0
COMMD6,1519.0,2511.0,1244.0,2435.0,2375.5
ADAMTS17,1.0,3.0,0.0,3.0,4.0
PPP1R18,595.0,600.0,452.0,762.5,622.5
ZNF431,18.0,11.0,3.0,15.0,14.0
ZNF721,31.0,32.0,19.0,20.5,30.5
ZNF384,39.0,28.0,21.0,40.0,26.5
ASXL1,250.0,446.0,305.0,381.0,317.0
SYNPO2,87.0,108.0,79.0,110.5,101.5
RHOV,60.0,17.0,32.0,28.0,44.0
DSTNP2,27.0,37.0,24.0,43.0,37.5
ZNF675,5.0,3.0,6.0,7.5,4.5
CLYBL,14.0,37.0,66.0,33.0,44.0
SPTSSA,441.0,589.0,227.0,763.0,660.5
POLR3H,195.0,211.0,198.0,202.5,210.5
ABHD3,14.0,10.0,4.0,23.5,19.0
PGAM5,305.0,488.0,295.0,544.5,512.5
HIGD2A,963.0,1100.0,838.0,1104.0,1119.5
AGO3,40.0,24.0,27.0,25.0,27.5
AGO4,487.0,419.0,332.0,472.5,426.5
SCAMP5,76.0,134.0,84.0,117.0,126.0
PRXL2C,58.0,59.0,70.0,52.0,60.5
ZNF367,144.0,104.0,120.0,150.5,123.0
METTL15,265.0,359.0,259.0,366.0,378.0
MPZL3,8.0,12.0,15.0,8.5,11.0
IMMP1L,133.0,147.0,122.0,167.5,153.0
RILPL2,1640.0,2527.0,1311.0,2656.0,2399.5
AMN1,22.0,23.0,14.0,53.5,26.0
METTL7B,346.0,393.0,270.0,456.0,355.0
ZFC3H1,32.0,25.0,7.0,63.0,39.5
EEF2KMT,136.0,183.0,127.0,157.0,175.0
DCP1B,87.0,55.0,72.0,75.5,65.0
ANO6,18.0,36.0,12.0,61.0,40.5
ARID2,235.0,252.0,211.0,327.5,294.0
PAOX,14.0,18.0,14.0,30.0,18.0
FAM24B,49.0,94.0,19.0,89.5,84.0
LINC00638,3.0,4.0,5.0,6.0,3.5
DNM1P46,3.0,10.0,6.0,2.5,9.0
UBR1,53.0,76.0,18.0,96.0,63.5
SNAI3-AS1,17.0,46.0,35.0,29.5,40.0
FCSK,208.0,232.0,219.0,219.0,210.0
MLKL,96.0,82.0,70.0,77.5,83.5
ZNF778,1.0,5.0,5.0,4.0,4.5
ACSF3,64.0,65.0,56.0,58.5,69.0
WDR90,980.0,2167.0,1708.0,1523.5,1577.5
NLRC3,16.0,33.0,24.0,38.5,25.0
NSMCE1,454.0,752.0,555.0,546.0,663.5
ZNF48,194.0,143.0,167.0,155.5,159.0
DZIP1L,10.0,22.0,7.0,25.0,21.5
MCEMP1,338.0,409.0,342.0,443.0,401.0
ZNF627,79.0,19.0,59.0,7.0,47.0
ZNF585A,35.0,21.0,36.0,27.5,25.0
THAP8,22.0,22.0,12.0,22.0,14.0
U2AF1L4,36.0,25.0,55.0,40.5,30.0
ADM5,10.0,4.0,11.0,10.0,4.0
ALG14,52.0,84.0,47.0,87.5,58.5
FAM76A,23.0,41.0,38.0,72.0,43.0
TMEM201,306.0,407.0,254.0,432.5,401.0
FAAP20,172.0,206.0,221.0,260.0,194.5
