KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
ADGRE4P,35,85,88,65,48,63,69,86
ADGRE5,3125.9,5685.8,5625.1,3741,2326.8,2179.4,2177.6,3930.9
ADGRF3,14,26.06,15.02,14.06,9,10,13,30.03
ADGRG1,1,2,1,1,0,2,1,1
ADGRG2,2,4,7,5,6,2,2,3
ADGRG3,14,10,11,11,1,3,6,4
ADGRG5,1249,2181,1828,1347,787,693,689,1358
ADGRL1,182,339,285,224,117,104.03,119,236.72
ADGRL1-AS1,166,226,238,170,142,115.97,97,267.28
ADGRL2,3,7,5,4,2,2,1,1
ADGRL3,999,1199,1187,950,738,781,727,1510
ADGRV1,0,0,0,0,0,0,0,1
ADH5,1165,2212,2328,1486,1434,1288,1253,2767.9
ADH5P4,1,8,6,2,3,6,4,3.05
ADH6,0,1,0,0,0,0,0,0
ADHFE1,0,0,1,2,0,1,0,0
ADI1,2144.9,3663.8,3593.7,2418.9,2475,2140.9,2049.9,4595.9
ADIPOR1,1367,2303,2070,1567,1154,1110,1042,2066
ADIPOR2,3090,5471,5593,3973,2825,2406,2487,5128
ADIRF,0,0,1.69,3.27,0,0,0,6.04
ADIRF-AS1,164.9,341.33,298.01,224.32,174.64,157.59,133.51,315.76
ADK,1177,1939,2224,1429,1316,1262,1211.3,2700
ADM,3,18,47,34,1,8,2,13
ADM2,213,416,465,278,88,90,97,145
ADM5,57.26,117.94,91.44,66.08,66.13,37.67,25.14,79.3
ADNP,2869,4146,4432,3356,2804,2690,2599,5146
ADNP-AS1,9,8,7,11,1,5,7,15
ADNP2,1086,1733,1752,1197,955,930,899,1810
ADO,573,805,869,673,563,593,487,1071
ADORA1,2,6,2,2,4,4,2,13
ADORA2A,20,56,37,23.02,10,6.89,12,23.33
ADORA2A-AS1,0,1,0,3,0,0,0,1
ADORA2B,147,297,257,171,193,157,156,363
ADORA3,3,7,10,6,12,8,7,16
ADPGK,1871.4,3349.1,3260.6,2236.6,2077.8,1743.7,1838.8,3958.4
ADPGK-AS1,31.61,23.91,18.45,11.37,16.23,9.29,9.21,22.61
ADPRH,93,122,144,94,58,44,59,99
ADPRHL1,19,44,46,36,12,26,19,31
ADPRM,87,215,249,147,134,124,126,271
ADPRS,265,607,547,387,297,234,241,562
ADRA1D,1,1,2,4,1,0,1,0
ADRA2A,0,1,0,0,0,0,0,0
ADRA2B,0,0,1,0,0,0,0,0
ADRA2C,8,21,24,13,18,20,15,31
ADRB1,14,24,22,11,5,7,5,14
ADRB2,251,445,493,323,253,263,269,472
ADRM1,933,1458,1333,961.99,786,587.99,707.98,1437
ADSL,1308.8,2504.6,2599.3,1603.2,1563.2,1343.3,1297.8,2907.6
ADSS1,180,348,374,250,126,100,116,237
ADSS2,1516,1986,2386,1713,1586,1637,1595,3148
ADTRP,2,1,2,0,1,1,2,3
AEBP1,0,1,2,0,0,1,0,2
AEBP2,922,1148,1220,1045,751,1006,761,1503
AEN,750,1308,992,685,664,492,482,1188
AFAP1,88,129,119,96,74,66,57,121
AFAP1-AS1,0,5,4,4,0,2,3,3
AFDN,1632,2386,2252,1838,1157,1138,1103,2304
AFDN-DT,2,4,3,4,2,3,1,5
AFF1,4958,6057,5892,4716,3123,3296,3099,5926
AFF2,2,2,1,0,0,1,0,1
AFF3,1731,2630,2450,1844,1568,1437,1477,2801
AFF4,1370,1657,1683,1200,786,862,834,1597
AFG1L,200,292,305,222,182,206,181,357
