GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
SAP30BP,92.0,69.0,130.0,121.0,44.0,27.0,44.0,73.0,47.0,69.0,84.0,77.0,118.0,51.0
MYLIP,90.0,57.0,143.0,53.0,89.0,65.0,72.0,131.0,61.0,190.0,96.0,223.0,92.0,127.0
BRD7,6.0,6.0,11.0,7.0,4.0,7.0,7.0,5.0,2.0,4.0,4.0,6.0,6.0,5.0
CTNNA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEC2D,394.0,189.0,860.0,345.0,420.0,191.0,400.0,215.0,321.0,231.0,593.0,267.0,931.0,195.0
ANKRD11,47.0,27.0,74.0,48.0,31.0,26.0,41.0,41.0,24.0,26.0,49.0,52.0,76.0,18.0
C11orf21,9.0,7.0,10.0,7.0,7.0,4.0,8.0,12.0,6.0,4.0,11.0,27.0,18.0,21.0
CD274,1.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0
RACGAP1,71.0,44.0,208.0,136.0,80.0,93.0,64.0,153.0,45.0,130.0,79.0,165.0,128.0,83.0
UHRF1,288.0,110.0,496.0,212.0,238.0,127.0,244.0,158.0,188.0,176.0,338.0,175.0,523.0,84.0
BLNK,1.0,4.0,5.0,8.0,3.0,6.0,1.0,11.0,1.0,10.0,5.0,24.0,3.0,40.0
USP25,19.0,16.0,41.0,31.0,14.0,19.0,18.0,22.0,15.0,29.0,21.0,37.0,23.0,15.0
PACSIN3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TMOD4,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0
TMOD3,47.0,34.0,160.0,117.0,61.0,70.0,56.0,84.0,30.0,83.0,76.0,125.0,108.0,45.0
TMOD2,1.0,1.0,2.0,4.0,4.0,4.0,1.0,10.0,2.0,9.0,2.0,20.0,3.0,12.0
POM121L9P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
